Date,Tweet ID,Tweet Text,Full Name,Screen Name,Favorite_count,Retweets,Followers,Follows,Verified,User Since,Location,Bio,Preproccessed Tweet Text,Subjectivity,Polarity,Label
2021-04-07 15:46:43,1379822955979403265,"RT @latokens: Get a share of 1.5 million WHX cryptocurrency tokens. 💰
Join the @WHITEX63000231 Airdrop on LATOKEN, complete quick and easy…",Ahmat aji,@PengusahaI,0,449,39,316,False,2019-01-08 09:32:00,"Central Java, Indonesia","like & subscribe my channels youtube

https://t.co/Fgc5gcQmLu","Get a share of 1.5 million WHX cryptocurrency tokens. 💰
Join the  Airdrop on LATOKEN, complete quick and easy…",0.45,0.21666666666666667,Positive
2021-04-07 15:46:43,1379822955182493696,"RT @latokens: Get a share of 1.5 million WHX cryptocurrency tokens. 💰
Join the @WHITEX63000231 Airdrop on LATOKEN, complete quick and easy…",Deenmohammad,@Deenmoh69903992,0,449,6,160,False,2021-01-24 17:00:59,"Dhaka, Bangladesh",,"Get a share of 1.5 million WHX cryptocurrency tokens. 💰
Join the  Airdrop on LATOKEN, complete quick and easy…",0.45,0.21666666666666667,Positive
2021-04-07 15:46:42,1379822953769037826,"RT @bitxmicrypto: Great News from tomorrow 5th April Bitxmi Earn while trade Promo will start!!

All traders can earn 0.05% in Bxmi on all…",itaabio,@itabiofushi,0,1662,266,461,False,2020-08-16 08:42:51,oikage . eruri . sukufushi ,bulol tobio levi 1000000000000000000000000000%,"Great News from tomorrow 5th April Bitxmi Earn while trade Promo will start!!

All traders can earn 0.05% in Bxmi on all…",0.75,1.0,Highly Positive
2021-04-07 15:46:42,1379822952653459456,"RT @BTC_Archive: #Bitcoin supply is getting tighter every day - even at record prices!

This is unprecedented in a bull market. 

Few under…",2021,@EddishEdwin,0,157,356,262,False,2017-08-09 11:39:58,globe,"#Bitcoin &  lightning network enthusiast since early 2017. Twitter lurker. Tweets about adoption, advanced charts, on-chain data, insights and market analysis.","Bitcoin supply is getting tighter every day - even at record prices!

This is unprecedented in a bull market. 

Few under…",0.5,0.19999999999999998,Positive
2021-04-07 15:46:42,1379822952556990473,RT @LongTermBaggers: In a Nutshell™ $SOS has began it's New Focus on Mining of Key Mainstream Cryptocurrencies. Followed by a Variety of Cl…,Joe Gambiste,@Gambiste1,0,10,10818,0,False,2019-06-05 20:33:56,,"Check out the best tweets on Stocks. Beware, I am the greatest stocks retweeter. Find hot stocks with @GambisteFinance.",In a Nutshell™ $SOS has began it's New Focus on Mining of Key Mainstream Cryptocurrencies. Followed by a Variety of Cl…,0.7272727272727273,0.06818181818181818,Positive
2021-04-07 15:46:42,1379822952150040576,"RT @BitzippOfficial: #Bitzipp 

#PreSale with 10% bonus is in progress 

1 BZP = 0.10 USD 

 Register on https://t.co/TIln1NzROf and buy #B…",Quach van sao,@Quachvansao,0,5806,5,224,False,2021-03-01 11:21:00,,ok,"Bitzipp 

PreSale with 10% bonus is in progress 

1 BZP = 0.10 USD 

 Register on  and buy B…",0.0,0.0,Neutral
2021-04-07 15:46:41,1379822947502751751,"RT @latokens: Get a share of 1.5 million WHX cryptocurrency tokens. 💰
Join the @WHITEX63000231 Airdrop on LATOKEN, complete quick and easy…",Shishir Ghosh #BRG ✪,@shishir_ghosh1,0,449,26,314,False,2018-12-05 14:27:09,"Dhaka, Bangladesh",#BRGArmy,"Get a share of 1.5 million WHX cryptocurrency tokens. 💰
Join the  Airdrop on LATOKEN, complete quick and easy…",0.45,0.21666666666666667,Positive
2021-04-07 15:46:40,1379822946458333185,"RT @Raditya63500081: @BitzippOfficial This is a project that will be very useful in the future.
because it is supported by a professional t…",Marof Hossen,@HossenMarof,0,1,2,36,False,2021-04-02 08:48:05,,," This is a project that will be very useful in the future.
because it is supported by a professional t…",0.075,0.16333333333333333,Positive
2021-04-07 15:46:40,1379822946244423687,"RT @CryptoTheBeast_: Dear Community ❤️
@reflectdao update information 🤳
I think with 850k inital marketcap . 
Big announcement's  coming 🚀…",mooning⁷,@chewielucks,0,90,277,1258,False,2020-09-02 03:10:21, pickaw picknava pickme juseyo,𝘑𝘶𝘴𝘵 𝘨𝘰 𝘪𝘯𝘴𝘵𝘦𝘢𝘥 𝘰𝘧 𝘸𝘰𝘳𝘳𝘺𝘪𝘯𝘨 ✨  6️⃣5️⃣🎹 #flurwin #GenSquad #LegitFam #ILYAngeLQueeN #silentsquad #PriTeam,"Dear Community ❤️
 update information 🤳
I think with 850k inital marketcap . 
Big announcement's  coming 🚀…",0.1,0.0,Neutral
2021-04-07 15:46:40,1379822945388781568,"RT @flurtft: 🐸$100 to someone who retweets this and follows 
@frogefinance1 + @financefroge in 24 hours 🐸

$FROGE is the worlds first eco-t…",Michelle,@meteor01,0,1173,570,5001,False,2009-03-11 03:05:32,,"REAL account my primary account was suspended..Do not follow to unfollow. #flurwin #GenSquad
https://t.co/OZJOkOhupl      https://t.co/0bO0EHebfn","🐸$100 to someone who retweets this and follows 
 +  in 24 hours 🐸

$FROGE is the worlds first eco-t…",0.3333333333333333,0.25,Positive
2021-04-07 15:46:39,1379822942247247873,"RT @FrYzZ_: Register on those two crypto faucets to get: 
1: 1000 Satoshi ! https://t.co/hIG9nw6VKv 
2: $30 in Dogecoin ! https://t.co/ATOi…",nani ⁉️ $100 come to me,@tsucchiexx,0,496,423,2439,False,2020-05-21 15:36:46,💙💜💎,22 • 6️⃣5️⃣🎹 #NatGang #silentsquad #cryptoaddictfam #JustineWinners #LegitCutieBabeGem,"Register on those two crypto faucets to get: 
1: 1000 Satoshi !  
2: $30 in Dogecoin ! …",0.0,0.0,Neutral
2021-04-07 15:46:39,1379822941798551554,"Forex Trading Unlocked Your Key To Online Trading - $Forex, $Bitcoin https://t.co/CBynk1NZOj",Theodore Kekstadt,@FxTradingUnlock,0,0,1131,1059,False,2010-03-22 20:56:00,"Wheeling, IL","Disclaimer : 
https://t.co/SD0o7DOGLi

President Forex Trading Unlocked Inc.
https://t.co/z22rCe3P1E","Forex Trading Unlocked Your Key To Online Trading - $Forex, $Bitcoin ",1.0,0.0,Neutral
2021-04-07 15:46:39,1379822941710512128,@CryptoCharles__ Bitcoin - Back in October 2020 😋,Kevin Blackhurst,@BlackhurstKevin,0,0,22,97,False,2012-11-02 18:25:46,,, Bitcoin - Back in October 2020 😋,0.0,0.0,Neutral
2021-04-07 15:46:39,1379822940632489987,"RT @BitzippOfficial: #Bitzipp 

#PreSale with 10% bonus is in progress 

1 BZP = 0.10 USD 

 Register on https://t.co/TIln1NzROf and buy #B…",Dilanalesha,@dilanalesha,0,5806,14,68,False,2021-04-03 06:50:26,,,"Bitzipp 

PreSale with 10% bonus is in progress 

1 BZP = 0.10 USD 

 Register on  and buy B…",0.0,0.0,Neutral
2021-04-07 15:46:39,1379822940485681154,"RT @latokens: Get a share of 1.5 million WHX cryptocurrency tokens. 💰
Join the @WHITEX63000231 Airdrop on LATOKEN, complete quick and easy…",Jhonny Bhai#BRG,@JhonnyB41567877,0,449,8,173,False,2021-01-05 06:40:28,,#BRGArmy,"Get a share of 1.5 million WHX cryptocurrency tokens. 💰
Join the  Airdrop on LATOKEN, complete quick and easy…",0.45,0.21666666666666667,Positive
2021-04-07 15:46:39,1379822939940384771,"RT @bitxmicrypto: Great News from tomorrow 5th April Bitxmi Earn while trade Promo will start!!

All traders can earn 0.05% in Bxmi on all…",I will win 🔜 🔥🔥🔥,@xyzriego,0,1662,30,278,False,2020-12-03 17:52:40,🇮🇩 ,"I'm just a cement truck driver and my account was @yfzlucky_🔥 But that my account has been suspended 😕

6️⃣5️⃣🎹","Great News from tomorrow 5th April Bitxmi Earn while trade Promo will start!!

All traders can earn 0.05% in Bxmi on all…",0.75,1.0,Highly Positive
2021-04-07 15:46:39,1379822939743260675,"@StackerSatoshi What's going on with bitcoin ??
Minor correction or big dump ahead ??",Vipul Soni,@VipulSo05219521,0,0,15,289,False,2020-01-31 17:08:49,,," What's going on with bitcoin ??
Minor correction or big dump ahead ??",0.15000000000000002,-0.025,Negative
